grid_n,split,frequency_hz,lp_bin,ls_bin,k_bin,empty_all_q,unobserved_is_not_proven_unreachable,lp_low_nh,lp_high_nh,ls_low_nh,ls_high_nh,k_low,k_high,N_strict_core_all_q,N_strict_core_q10_20,N_q_below10,N_q10_12,N_q12_14,N_q14_16,N_q16_18,N_q18_20,N_q_above20
8,train,15000000000,0,0,0,False,True,0.5,0.6875,0.5,0.6875,0.2,0.28125,4,4,0,0,0,0,4,0,0
8,train,15000000000,0,0,1,False,True,0.5,0.6875,0.5,0.6875,0.28125,0.3625,1,1,0,0,0,0,1,0,0
8,train,15000000000,0,0,2,False,True,0.5,0.6875,0.5,0.6875,0.3625,0.44375,4,4,0,0,1,2,1,0,0
8,train,15000000000,0,0,3,False,True,0.5,0.6875,0.5,0.6875,0.44375,0.5249999999999999,1,1,0,0,0,1,0,0,0
8,train,15000000000,0,0,4,True,True,0.5,0.6875,0.5,0.6875,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,0,5,False,True,0.5,0.6875,0.5,0.6875,0.60625,0.6875,1,1,0,0,1,0,0,0,0
8,train,15000000000,0,0,6,True,True,0.5,0.6875,0.5,0.6875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,0,7,True,True,0.5,0.6875,0.5,0.6875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,1,0,False,True,0.5,0.6875,0.6875,0.875,0.2,0.28125,6,6,0,0,0,0,6,0,0
8,train,15000000000,0,1,1,False,True,0.5,0.6875,0.6875,0.875,0.28125,0.3625,7,7,0,0,0,5,2,0,0
8,train,15000000000,0,1,2,False,True,0.5,0.6875,0.6875,0.875,0.3625,0.44375,4,4,0,0,0,1,3,0,0
8,train,15000000000,0,1,3,True,True,0.5,0.6875,0.6875,0.875,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,1,4,False,True,0.5,0.6875,0.6875,0.875,0.5249999999999999,0.60625,1,1,0,0,1,0,0,0,0
8,train,15000000000,0,1,5,True,True,0.5,0.6875,0.6875,0.875,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,1,6,True,True,0.5,0.6875,0.6875,0.875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,1,7,True,True,0.5,0.6875,0.6875,0.875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,2,0,False,True,0.5,0.6875,0.875,1.0625,0.2,0.28125,13,13,0,0,0,7,6,0,0
8,train,15000000000,0,2,1,False,True,0.5,0.6875,0.875,1.0625,0.28125,0.3625,6,6,0,0,3,2,1,0,0
8,train,15000000000,0,2,2,False,True,0.5,0.6875,0.875,1.0625,0.3625,0.44375,2,2,0,0,0,2,0,0,0
8,train,15000000000,0,2,3,True,True,0.5,0.6875,0.875,1.0625,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,2,4,True,True,0.5,0.6875,0.875,1.0625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,2,5,True,True,0.5,0.6875,0.875,1.0625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,2,6,True,True,0.5,0.6875,0.875,1.0625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,2,7,True,True,0.5,0.6875,0.875,1.0625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,3,0,False,True,0.5,0.6875,1.0625,1.25,0.2,0.28125,19,19,0,0,8,11,0,0,0
8,train,15000000000,0,3,1,True,True,0.5,0.6875,1.0625,1.25,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,3,2,True,True,0.5,0.6875,1.0625,1.25,0.3625,0.44375,0,0,0,0,0,0,0,0,0
